Country,Protest Name,Start Date,Freedom Rating (Status),Triggers,Motivations,Peak Size,Key Participants,Duration,Outcomes,Active protests,Economic motivation?,Political motivation?,Corruption motivation?,Gender motivation?,Size category,Protests with a significant outcome,"Large protests (Over 100,000 protesting)",Violent government response,Long protests (more than 3 months),Coronavirus-related protests,Capital city
Czech Republic,Economic protests,22-Sep,Free,Skyrocketing energy prices; the government's policy of allowing entrance for Ukrainian refugees.,"Fears over rising prices; anti-establishment furore over the government's policies relating to COVID-19 measures; eurosceptic anger over the government's support for Ukraine, NATO, the EU, and other institutions.","70,000","General public, especially the anti-establishment far right and far left.",1 day,No policy/leadership change in response to protests.,,X,X,,,Tens of thousands,,,,X,,Prague
Ecuador,Femicide protests,22-Sep,Free,The disappearance and murder of 34-year-old lawyer María Belén Bernal.,Anger over high rates of femicide in the country.,>100,Women.,2 weeks,No policy/leadership change in response to protests.,,,,,X,Hundreds,,,,,,Quito
Germany,Fuel price protests,22-Sep,Free,"Rising prices, especially of fuel.",Frustration with the government's pro-Ukraine policies; fears of worsening economic conditions and rising fuel prices.,">50,000",General public.,2 months,No policy/leadership change in response to protests.,,X,X,,,Tens of thousands,,,,,,Berlin
Hungary,Abortion law protests,22-Sep,Partly free,"The government amended the law to require healthcare providers to present women with evidence of life of the fetus, widely interpreted as a heartbeat, before proceeding with the abortion.","Backlash over conservative social policies implemented by the Fidesz-led government, including restrictions on women's rights, especially to safe abortion access.",">1,000",Women.,2 weeks,No policy/leadership change in response to protests.,,,X,,X,Thousands,,,,,,Budapest
Indonesia,Fuel price hike protests,22-Sep,Partly free,The government increased subsidized fuel prices by 30%.,Rising inflation and high poverty.,">1,000",General public.,3 weeks,No policy/leadership change in response to protests.,,X,X,,,Thousands,,,,,,Jakarta
Iran,Mahsa Amini protests,22-Sep,Not free,Morality police arrested 22-year-old Mahsa Amini for violating the country's hijab law; she died in custody.,"Frustrations with the country's strict morality laws, the abuses of the morality police, and the lack of freedoms for women.",">10,000",Women.,10 months,The protests sparked an international women's rights movement.,,,X,,X,Tens of thousands,,,X,X,,Tehran
Italy,Access to abortion protests,22-Sep,Free,The victory of far right parties in the country's general election.,Fears that a right-wing government would restrict access to abortion.,">1,000",Women.,1 day,No policy/leadership change in response to protest.,,,X,,X,Thousands,,,,,,Rome
Morocco,Abortion access protests,22-Sep,Partly free,"The death of a 14-year-old girl named Meriem who had been raped; she died on September 6 of an unsafe, illegal abortion.",Anger over lack of access to safe abortion in Morocco.,>100,Women.,2 weeks,No policy/leadership change in response to protests.,,,X,,X,Hundreds,,,,,,Rabat
Pakistan,Kissan Ittehad protests,22-Sep,Partly free,A government hike in electricity tariffs; high inflation.,Fears of financial ruin for farmers in the wake of catestrophic flooding.,"25,000",Farmers.,1 week,"The government conceded to protester demands, agreeing to cancel fuel adjustment charges and delay the payment of electricity bills.",,X,X,,,Tens of thousands,,,,,,Islamabad
Slovakia,Fuel price protest,22-Sep,Free,"Rising prices, especially of fuel.",Discontent with government support for Ukraine; fears of energy insecurity resulting from war in Ukraine.,"5,000",General public.,1 day,No policy/leadership change in response to protest.,,X,X,,,Thousands,,,,,,Bratislava
South Africa,Water shortage protest,22-Sep,Free,Water shortages across the country.,Frustrations over high poverty and inequality; fears of consequences of climate change.,>100,General public.,3 days,No policy/leadership change in response to protests.,,X,X,,,Hundreds,,,,,,"Pretoria, Cape Town, Bloemfontein"
Spain,Cost of living protests,22-Sep,Free,Rapidly rising prices.,Fears of economic harship as wage increases were failing to compensate for price increases.,">17,000",General public.,2 months,No policy/leadership change in response to protests.,,X,,,,Tens of thousands,,,,,,Madrid
Spain,Prostitution bill protest,22-Sep,Free,Parliament introduced a bill that would penalize prostitution customers and sex club owners or pimps with sentences up to 4 years in prison,Fears of losing livelihood among sex workers.,">1,000","Women, especially sex workers and brothel owners.",1 day,No policy/leadership change in response to protests.,,X,X,,X,Thousands,,,,,,Madrid
Tunisia,2022 police brutality protests,22-Sep,Partly free,"Authorities shot and killed Moshen Zeyani, 23, on the suspicion that he was smuggling cigarettes; a month later, Malek Selimi, 24, died from injuries sustained during a police chase.",Anger over police tactics that demonstrators find to be brutal and excessive.,>100,General public.,2 months,No policy/leadership change in response to protests.,,,X,,,Hundreds,,,,,,Tunis
Tunisia,Economic crisis protests,22-Sep,Partly free,The government introduced price hikes on gas cooking bottles and fuel as part of a plan to reduce energy subsidies.,Anger over food shortages and rising inflation; frustrations with consolidation of power by President Kais Saied.,">1,000",General public.,2 weeks,No policy/leadership change in response to protests.,,X,X,,,Thousands,,,,,,Tunis
Bolivia,Census protests,22-Oct,Partly Free,"The government planned to delay the country's census until after the 2025 general election. In December 2022, Bolivian police arrested opposition leader Luis Fernando Camacho on terrorism charges.","Desire to secure greater representation and increased funding for the city of Santa Cruz, an opposition stronghold; desire for greater local autonomy.",">1,000",Residents of Santa Cruz.,3 months,"The government agreed to hold the census in 2024 ahead of the general election but could not do so in 2023, as protesters demanded.",,X,X,,,Thousands,X,,X,,,La Paz
Bosnia and Herzegovina,Election fraud protests,22-Oct,Partly free,Perceived fraud in October 2 elections.,"Heightened tensions between the country's Bosniak, Croat, and Serb populations.",">1,000",Supporters of the opposition.,1 month,"The Central Election Commission ordered a recount of all ballots cast in Republika Srpska. On October 27, the Central Election Commission declared Dodik the winner of the election.",,,X,,,Thousands,,,,,,Sarajevo
Brazil,2022 election protests,22-Oct,Free,Opposition candidate Luiz Inácio Lula da Silva won the 2022 Brazilian presidential election.,Anger at perceived fraud in the election.,">10,000",Supporters of Jair Bolsonaro,2 months,"No policy/leadership change in response to protests. On January 8, 2023, supporters of Former President Bolsonaro stormed the country's presidential palace, National Congress, and Supreme Court buildings.",,,X,,,Tens of thousands,,,,,,Brasilia
France,Anti-immigration protests,22-Oct,Free,The murder of a 12-year-old girl by an illegal immigrant from Algeria.,Frustrations with the government's policies on illegal immigration and deportation.,>100,Right-wing partisans.,1 week,No policy/leadership change in response to protests.,,,X,,,Hundreds,,,,,,Paris
France,Cost of living strikes and protests,22-Oct,Free,Strikes at oil refineries triggered fuel shortages and exacerbated rising fuel prices.,Worries over energy costs during winter; prices rising faster than wage increases.,">100,000",General public.,2 weeks,No policy/leadership change in response to protests.,,X,,,,Hundreds of thousands,,X,,,,Paris
Haiti,Anti-foreign interference protests,22-Oct,Not free,The government requested security assistance from international actors to quell gang violence and economic crisis protests.,Frustrations with previous failures of the international community to achieve stated objectived through interventions in Haiti.,">1,000",General public.,1 week,No policy/leadership change in response to protests.,,,X,,,Thousands,,,,,,Port-au-Prince
Hungary,Teacher protests,22-Oct,Partly free,Teachers who joined early protests for higher wages were sacked.,"Low wages and poor working conditions for teachers, as well as a shortage of teachers. Demand educational freedom, which Orbán's government has usurped.","80,000","Teachers, students, parents.",9 months,"On July 4, 2023, Hungary's parliament passed a law that revoked teachers’ status as public employees, increased allowable weekly working hours, and allowed for educators to be transferred to other schools experiencing teacher shortages.",,X,X,,,Tens of thousands,,,,X,,Budapest
Italy,Cost of living protest,22-Oct,Free,"Rapidly rising prices, especially of fuel.",Frustrations over the government's support for Ukraine and inability to curb prices.,>100,General public.,1 day,No policy/leadership change in response to protest.,,X,X,,,Hundreds,,,,,,Rome
Malawi,Cost of living and corruption protests,22-Oct,Partly free,"Rapidly rising cost of living, a scandal in which the government paid to procure fertiziler that never materialized.","Perceptions of high corruption, mismanagement of COVID relief funds, and government incapacity to combat poverty and inflation.",>100,General public.,1 day,No policy/leadership change in response to protests.,,X,X,X,,Hundreds,,,,,,Blantyre
Pakistan,Anti-violence protests,22-Oct,Partly free,Assaisants shot and killed the driver of a school bus and injured two children in October 2022; two explosions at a compound for counterterrorism police killed at least 15 people and wounded dozens more in April 2023.,"Fears of ""growing militant activities"" in the district.","15,000",Residents of Swat District.,2 days in October 2022; 2 days in April 2023,The government promised to arrest the culprits and take up custody of the children of the van driver who had been killed.,,,X,,,Thousands,,,,,,Islamabad
Poland,Education bill protests,22-Oct,Free,The parliament resumed efforts to pass a law centralizing control over schools.,Fears of greater top-down control from the conservative ruling party over matters such as sex education.,>100,"Students, teachers, parents, and NGOs.",2 months,"On December 15, President Andrzej Duda announced that he would veto the bill.",,,X,,,Hundreds,X,,,,,Warsaw
Romania,Cost of living protest,22-Oct,Free,"Rapidly rising prices, especially of fuel and food.",Frustrations with perceived government inaction to combat inflation.,">1,000",General public.,1 day,No policy/leadership change in response to protests.,,X,X,,,Thousands,,,,,,Bucharest
Tunisia,Migrant shipwreck burial protests,22-Oct,Partly free,"After 18 Tunisian migrants traveling to Europe died in a shipwreck, authorities buried four in a cemetary for recovered bodies of sub-Saharan migrants without attempted to identify the bodies.",Anger with state failure.,">3,000",General public.,1 month,President Kais Saied ordered the Ministry of Justice to open an investigation.,,,X,,,Thousands,,,,,,Tunis
United Kingdom,March of the Mummies,22-Oct,Free,High and increasing costs of childcare in the United Kingdom.,"Fears of economic hardship against the backdrop of soaring inflation in the United Kingdom, structural economic barriers for women.",">15,000",Women.,1 day,No policy/leadership change in response to protests.,,X,X,,X,Thousands,,,,,,London
Albania,Corruption and rising price protests,22-Nov,Partly Free,Increasing costs and rising poverty.,Frustration with perceived government failure to combat inflation and corruption.,">10,000",General public.,3 months,No policy/leadership change in response to protests.,,X,X,X,,Tens of thousands,,,,,,Tirana
Bulgaria,Wage protest,22-Nov,Free,Rising inflation.,Fears of economic harship as wage increases were failing to compensate for price increases.,">1,000",General public.,1 day,No policy/leadership change in response to protests.,,X,X,,,Thousands,,,,,,Sofia
Canada,Ontario education worker strike and protests,22-Nov,Free,The Ontario government invoked the nothwithstanding clause of Canada's constitution to force education workers not to strike.,Economic hardship resulting from stagnant wages that were not keeping up with the rate of inflation.,">1,000",Education workers,1 week,"Ontario's government agreed to rescind the law which required the education workers to end their strike, to pay workers for the two work days on which they were protesting, and increase hourly wages for all workers by $1.",,X,,,,Thousands,X,,,,,Ottawa
China,Coronavirus restriction protests,22-Nov,Not free,"A fire in an apartment building in Urumqi, the capital of the Xinjiang Uyghur Autonomous Region, killed 10 people. Demonstrators believed that COVID-19 restrictions, including makeshift barricades and blockaded emergency exits, hampered evacuation and rescue efforts.",Anger over continued coronavirus restrictions and lockdowns; frustration with lack of freedoms.,">1,000",General public.,2 weeks,"Municipal authorities quickly loosened conoarvirus restrictions in various cities, including Guangzhou and Chongqing. The Chinese government promised to do more to vaccinate a greater share of senior citizens. Then, in early December, the Chinese government announced sweeping changes to coronavirus restrictions, including allowing home quarantine and largely scrapping the health QR code that had been mandatory for entering most public places.",,,X,,,Thousands,X,,,,X,Beijing
Eswatini,Minibus driver protest,22-Nov,Not free,Authorities arrested four minibus drivers after accusing them of assaulting a female customer.,Frustrations with repression by authorities in eSwatini.,>100,Minibus drivers in Manzini.,1 day,No policy/leadership change in response to protest.,,,X,,,Hundreds,,,X,,,Mbabane
Ghana,Cost of living protests,22-Nov,Free,Rapidly rising prices. Inflation hit 37% in September 2022.,Fears of economic hardship and implications of depreciating value of currency.,">1,000",General public.,2 weeks,No policy/leadership change in response to protests.,,X,X,,,Thousands,,,,,,Accra
Greece,Inflation strike and protest,22-Nov,Free,"Rapidly rising prices, especially of fuel.",Economic anxieties caused by rising prices.,">1,000",General public.,1 day,No policy/leadership change in response to protest.,,X,,,,Thousands,,,,,,Athens
Hungary,Media bias protest,22-Nov,Partly free,"The state media corporation, MTVA, devoted minimal coverage to teacher protests, which began in September 2022.",Perceived bias in media that favors the ruling party.,"1,500","General public, especially members of the opposition.",1 day,No policy/leadership change in response to protest.,,,X,,,Thousands,,,,,,Budapest
Mexico,Electoral reform protests,22-Nov,Partly Free,"The President introduced a plan to overhaul the National Electoral Institute (INE), the country's agency responsible for organizing federal elections.",Fears that proposed changes would concentrate power in the hands of the government.,">100,000",General public.,3.5 months,"In February 2023, Mexico's senate approved the reform. On May 8, the country's Supreme Court voted to strike down the reform's push to rein in the INE's ability to police political communications. On June 22, the Supreme Court invalidated another part of the reform that would have significantly shrunk Mexico's INE and cut its budget.",,,X,,,Tens of thousands,,X,,X,,Mexico City
Peru,Pedro Castillo protests,22-Nov,Free,Prosecutors opened six criminal investigations into President Pedro Castillo for alleged corruption.,Anger over perceived corruption and economic crisis.,">1,000",Opponents of President Castillo.,1 month,"Peru's Congress summoned Castillo to respond to accusations of ""moral incapacity"" to govern. Facing impeachment, Castillo attempted to dissolve Congress and install an emergency government. The Constitutional Court rejected this dissolution. Congress impeached President Castillo. Police then arrested Castillo. Dina Boluarte, who was serving as vice president, was sworn in as president. One week later, Boluarte declared a national state of emergency.",,X,X,X,,Thousands,X,,X,,,Lima
Peru,Trucker and farmer protests,22-Nov,Free,Rapidly rising prices of fuel and shortages of fertilizer.,Fears of economic hardship for workers dependent on the price of fuel and fertilizer.,>100,Truckers and farmers.,1 week,No policy/leadership change in response to protests.,,X,,,,Hundreds,,,,,,Lima
South Africa,Public sector employee strikes and protests,22-Nov,Free,Public sector unions rejected a government offer to increase civil servant wages by 3%; union leaders had demanded an increase of 10%.,Concern over rapidly rising prices.,">1,000",Public sector workers.,4 months,No policy/leadership change in response to protests.,,X,,,,Thousands,,,,X,,"Pretoria, Cape Town, Bloemfontein"
Spain,Public healthcare protests,22-Nov,Free,Policies implemented by the conservative regional government in Madrid which protesters said was dismantling the public health system in favor of private providers.,Madrid's healthcare system was struggling to accommodate the high numbers of patients with many unable to access treatment elsewhere,">250,000",General public.,3 months,No policy/leadership change in response to protests.,,X,X,,,Hundreds of thousands,,X,,,X,Madrid
Spain,Right-wing antigovernment protests,22-Nov,Free,"Policies implemented by the socialist government, including a modified criminal code which eliminated the crime of sedition and a law against sexual violence that increased punishment for rape but lowered sentences for other sexual crimes.",Fears that these laws will encourage further separatism in Catalonia and higher rates of sexual assault.,"30,000","General public, especially supporters of the Vox party.",2 months,The government committed to amend the sexual consent law to close the loophole through which sex offenders' prison sentences were significantly reduced.,,,X,,,Tens of thousands,X,,,,,Madrid
Spain,Anti-violence against women protest,22-Nov,Free,High rates of gender-based violence and femicide; the passage of a law against sexual violence that increased punishment for rape but lowered sentences for other sexual crimes.,Frustration at inadequate response to violence against women.,">1,000",Women.,1 day,The government committed to amend the sexual consent law to close the loophole through which sex offenders' prison sentences were significantly reduced.,,,X,,X,Thousands,X,,,,,Madrid
Tunisia,Garbage collection protest,22-Nov,Partly free,A fire at a landfil in the city of Sfax created dangerous smoke.,Frustration with poor garbage collection services and the lack of available space in landfills.,">1,000",Residents of Sfax.,1 day,No policy/leadership change in response to protests.,,,X,,,Thousands,,,,,,Tunis
Croatia,Abortion access protest,22-May,Free,Revelations that a pregnant Croatian woman was forced to receive an abortion in Slovenia since local hospitals were not equipped to perfom the procedure.,Frustration with rising rates of conscientious objection by doctors to providing the procedure; increasing difficulty of accessing abortion; perception that government policies have not sufficiently ensured that doctors are willing to conduct the procedure.,">8,000","General public, especially women.",1 week,No policy/leadership change in response to protest.,,,X,,X,Thousands,,,,,,Zagreb
France,May Day protest,22-May,Free,Commemoration of May Day; call for protest by labor organizations.,"Economic discontent amid rising costs of living; opposition to President Emmanuel Macron's economic agenda, including a plan to raise the retirement age.",">120,000",General public.,1 day,No policy/leadership change in response to protests.,,X,X,,,Hundreds of of thousands,,X,,,,Paris
Indonesia,Papua protests,22-May,Partly free,The government's announcement of plans to split the provinces of West Papua and Papua into administrative divisions.,Desire for greater Papuan and West Papuan autonomy and perceived misrule of the region.,">1,000",Residents of Papua and West Papua.,3 months,No policy/leadership change in response to protest.,,,X,,,Thousands,,,,,,Jakarta
Iran,Food price protests,22-May,Not free,"A reduction in government subsidies for eggs, chicken, dairy products, and cooking oil, as well as heightened wheat and flour prices.","Frustration over rising cost of living and perceived government inability to address quality of life issues, including inflation and poor public services.",">5,000",General public.,1 month,No policy/leadership change in response to protest.,,X,X,X,,Thousands,,,X,,,Tehran
Iran,Building collapse protests,22-May,Not free,The death of dozens of people in a residential building collapse in Abadan.,"Frustration with corruption, poor enforcement of laws and safety standards, and unsatisfactory infrastructure and building quality.",">1,000",General public.,2 weeks,The mayor of Abadan and other senior officials were arrested.,,,X,X,,Thousands,X,,,,,Tehran
Kenya,"Njaa (""hunger"") Revolution protests",22-May,Partly free,Increasing prices of staple foods.,"Worsening economic conditions, accelerated by the war in Ukraine.","1,700",General public.,2 months,No policy/leadership change in response to the protests.,,X,,,,Thousands,,,,,,Nairobi
Tajikistan,Gorno-Badakhshan protests,22-May,Not free,The police killing of Gulbiddin Ziyobekov in November 2021 and the government's subsequent rejection of demands to investigate the death and address other grievances.,Frustration at perceived government efforts to reduce the Gorno-Badakhshan region's autonomy and repress activism; persistent police violence.,">1,000",Residents of the Gorno-Badakhshan Autonomous Region.,1 month,No policy/leadership change in response to protest.,,,X,,,Thousands,,,X,,,Dushanbe
Turkey,Opposition leader conviction protest,22-May,Not free,"A call for protest by the opposition Republican People's Party (CHP) after the conviction and sentencing of Canan Kaftancıoğlu, leader of the Istanbul branch of the CHP.",Frustration with rising autocratization under Recep Tayyip Erdoğan's government and the repression of opposition parties.,">10,000","General public, especially CHP supporters.",1 day,No policy/leadership change in response to protest.,,,X,,,Tens of thousands,,,,,,Ankara
Uganda,Cost of living protests,22-May,Not free,Rising prices of food and fuel.,"Worsening economic conditions, accelerated by the war in Ukraine.",>100,General public.,2 months,No policy/leadership change in response to protests.,,X,X,,,Hundreds,,,,,,Kampala
United States,Abortion ruling protests,22-May,Free,"The circulation of a leaked Supreme Court draft opinion that would overturn the court's prior ruling in Roe v. Wade, which guaranteed abortion rights; reignited in June 2022 by the Court overturing Roe v. Wade in a decision issued on June 24.",Anger over the decision's implications for women's rights and the perceived politicization of the judiciary.,">10,000",General public.,3 months,No policy/leadership change in response to protest.,,,X,,,Tens of thousands,,,,,,"Washington, D.C."
Albania,Rising price protests,22-Mar,Partly free,Rapid increases in food and fuel prices.,Frustration with high poverty and low wages and perceived government inaction.,">1,000",General public.,1 week,No policy/leadership change in response to protests.,,X,X,X,,Thousands,,,,X,,Tirana
Cameroon,Women's empowerment protests,22-Mar,Not free,Call for protest by women's groups; commemoration of International Women's Day.,Frustration with pervasive barriers to women's political participation and representation in senior political positions; anger over high costs of living and inflation in 2023.,">10,000",Women.,1 day in March 2022; 1 day in March 2023,No policy/leadership change in response to protest.,,,X,,X,Tens of thousands,,,,,,Yaounde
Chile,Student stipend protest,22-Mar,Free,Rising costs of living; call for protest by the Confech student federation.,Belief that the government should raise student food and living benefits amid significant economic pressure.,">1,000",Students.,1 day,No policy/leadership change in response to protest.,,X,X,,,Thousands,,,,,,Santiago
India,Economic policy protests,22-Mar,Partly free,Call for protest and strike by major Indian labor unions after the government proposed a series of labor reforms.,"Frustration with the government's economic policies, which they allege have harmed workers, especially in the country's informal economic sector; opposition to a proposed labor law.",">10,000",Members of labor unions.,1 week,No policy or leadership change in response to the protests.,,X,X,,,Thousands,,,,,,New Delhi
Pakistan,No-confidence motion protests,22-Mar,Partly free,The introduction and approval of a no-confidence motion against Prime Minister Imran Khan.,Supporters of the no-confidence motion viewed the Khan government as corrupt and blamed government leaders including Khan for the country's economic problems.,">10,000",Opponents of Imran Khan,1 month,Imran Khan was ousted in a no-confidence vote on April 10.,,X,X,X,,Tens of thousands,X,,,,,Islamabad
Spain,Rising price protests,22-Mar,Free,"Rising prices for food, fuel, and energy.",Frustration with rising economic pressures and the perceived failure of the government to address rising prices.,">100,000","Farmers, truckers.",1 week,No policy/leadership change in response to protest.,,X,X,,,Hundreds of of thousands,,X,,,,Madrid
United Kingdom,Just Stop Oil protests,22-Mar,Free,"The government issued new licenses for the exploration, development and production of fossil fuels",Fears of the impacts of climate change.,<100,Climate activists.,Active,No policy/leadership change in response to protests.,X,,X,,,Tens,,,,X,,London
Belgium,Cost of living strike and protest,22-Jun,Free,"National strike over wages and working conditions, especially among airport and other public transit workers.",Frustrations over stagnating wages and a rising cost of living.,">70,000",General public.,1 day,No policy/leadership change in response to protest.,,X,X,,,Tens of thousands,,,,,,Brussels
Ecuador,Rising price protests,22-Jun,Free,Rising prices for staple goods and the announcement of a strike and circulation of economic demands by the Confederation of Indigenous Nationalities of Ecuador.,Frustration with rising prices for agricultural goods and fuel and persistent economic inequality.,">5,000","General public, especially Indigenous groups.",2 weeks,"The government and CONAIE signed a ""peace accord"" which ended an 18-day general strike by protesters.",,X,X,,,Thousands,X,,X,,,Quito
Ghana,Inflation protest,22-Jun,Free,The government introduced price hikes and a tax on electronic payments.,Worsening economic conditions; perceived failure of government to combat inflation.,>100,General public,2 days,No policy/leadership change in response to protests.,,X,X,,,Hundreds,,,,,,Accra
India,Military reform protests,22-Jun,Partly free,The government's announcement of a plan to recruit soldiers on four-year contracts.,Concern that the new contract scheme would reduce opportunities for long-term careers in the military.,">10,000",Young men.,1 month,"The government made limited concessions, including by guaranteeing places for soldiers who completed contract service in longer-term positions.",,X,X,,,Tens of thousands,X,,,,,New Delhi
Italy,Ultima Generazione protests,22-Jun,Free,Perceived government inaction on climate change.,Fears of catestrophic consequences of climate change.,<100,Climate activists.,"Active, intermittently",No policy/leadership change in response to protests.,X,,X,,,Tens,,,,X,,Rome
Moldova,Fuel price protests,22-Jun,Partly free,"Worsening inflation, especially in fuel prices.",Frustration with perceived missteps in gas negotiations with Russia; anger over the government's pro-Western policies.,">1,000","General public, especially members of the opposition Shor party.",1 year,"In February 2023, Moldova's government resigned. President Maia Sandu accepted Prime Minister Natalia Gavrilita's resignation and nominated former interior minister Dorin Recean to replace her. On June 19, Moldova’s Constitutional Court banned the Shor Party and said the protests led by the group were “unconstitutional.""",,X,X,,,Thousands,X,,,X,,Chisinau
Pakistan,Fuel price protests,22-Jun,Partly free,"The government removed fuel subsidies to try to salvage an IMF agreement, increasing prices.",Concern over worsening economic conditions and rising inflation.,">1,000",General public.,Active,No policy/leadership change in response to the protests.,,X,X,,,Thousands,,,,,,Islamabad
Panama,Cost of living protests,22-Jun,Free,Rising prices for key goods including fuel and food staples.,"Frustration with worsening economic conditions; anger over poverty, inequality, and government corruption.",">1,000",General public.,Active,President Laurentino Cortizo announced a series of price control measures including subsidies to freeze the cost of fuel at $3.25 per gallon and regulations on 72 food items with the goal of reducing food costs by 30%.,,X,X,X,,Thousands,X,,,,,Panama City
Senegal,Opposition candidacy protests,22-Jun,Partly free,The government's decision to invalidate the Yewwi Askan Wi opposition coalition's candidate list for upcoming parliamentary elections; call for protest by coalition leader Ousmane Sonko.,Perceived repression of political opposition and entrenchment of incumbent president Macky Sall; frustration with lack of political pluralism.,">1,000",General public.,1 month,No policy/leadership change in response to protest.,,,X,,,Thousands,,,,,,Dakar
Haiti,Cost of living protests,22-Jul,Not free,"Rapidly rising prices, especially of fuel.",Violence and poor quality of life under Prime Minister Ariel Henry.,">1,000",General public.,3 months,No policy/leadership change in response to protests.,,X,X,,,Thousands,,,X,,,Port-au-Prince
Hungary,Tax hike protests,22-Jul,Partly free,The government increased the tax rate for hundreds of thousands of small businesses.,"Frustration with rising inflation, increasing burdens on small businesses, and a weakening of the country's currency.",">1,000",General public.,1 week,No policy/leadership change in response to the protests.,,X,X,,,Thousands,,,,,,Budapest
India,Tax hike protests,22-Jul,Partly free,The government introduced a tax hike on a range of products and services.,"Anger over rising prices on household goods, food, and fuel.",>100,"General public, shopkeepers and traders affiliated with the Confederation of All India Traders (CAIT), opposition politicians.",1 day,No policy/leadership change in response to the protests.,,X,X,,,Hundreds,,,,,,New Delhi
Kosovo,License plate protests,22-Jul,Partly Free,The announcement of new laws which would require ethnic Serbs crossing into Kosovo to show identity cards and license plates provided by the Kosovar government instead of the special status documents provided by the Serbian government.,Perceived mistreatment and persecution of ethnic Serbs by the Kosovar government.,>100,Ethnic Serbs in Kosovo.,5 months,The Kosovar government delayed imposing this law several times to avert ethnic strife but began a gradual implementation on November 1. Representatives from Kosovo and Serbia reached an agreement on November 23: Kosovo agreed to end further actions related to the re-registration of cars while Serbia agreed to stop issuing car license plates with the names of Kosovar cities.,,,X,,,Hundreds,X,,,X,,Pristina
Madagascar,Cost of living protests,22-Jul,Partly free,Rising cost of living and rolling blackouts.,Worsening economic conditions.,>100,General public.,2 weeks,No policy/leadership change in response to protests.,,X,X,,,Hundreds,,,,,,Antananarivo
North Macedonia,EU membership compromise protest,22-Jul,Partly free,The government considered a proposal that involved several concessions to North Macedonia's Bulgarian population as part of a compromise to overcome Bulgarian objections to the country's EU membership.,"Nationalist, anti-EU, and anti-Bulgarian sentiment.",">1,000","General public, especially those affiliated with nationalist and leftist parties.",2 weeks,No policy/leadership change in response to the protests. The government approved the proposal.,,,X,,,Thousands,,,,,,Skopje
Uzbekistan,Karakalpakstan region protests,22-Jul,Not free,The government announced plans to reduce the Karakalpakstan region's autonomy.,Discontent in the region with the national government's management of the region's access to water and jobs.,">1,000",Residents of Karakalpakstan,1 week,The government withdrew the controversial amendments regarding Karakalpakstan's autonomy.,,X,X,,,Thousands,X,,X,,,Tashkent
India,Hijab protest,22-Jan,Partly free,The imposition of a ban on wearing headscarves in educational institutions in Karnataka state and the circulation of a video that showed a Muslim woman being harassed by a mob of Hindu men.,Religious tensions between Hindus and Muslims and the perception that the ruling Bharatiya Janata Party is promoting Hindu nationalism to the detriment of Muslims' religious rights.,">1,000",Muslim women.,2 months,No policy/leadership change in response to protest.,,,X,,X,Thousands,,,,,,New Delhi
Iran,Public sector employees strikes and protests,22-Jan,Not free,Rising costs of living and stagnating salaries for public sector employees.,Frustration with the government's slow implementation of salary and pension reform; economic mismanagement.,">1,000","Public sector employees, including nurses and teachers; retired public sector employees dependent on government pensions.",1.5 years,"In April 2023, Ayatollah Ali Khamenei said that some protests have been helpful to the country, although he also announced that 4,000 striking petrochemical workers would be fired and replaced.",,X,,,,Thousands,,,,X,,Tehran
Kazakhstan,Fuel price protests,22-Jan,Not free,The lifting of price caps on liquid petroleum gas.,"Frustration over rising cost of living, economic stagnation and inequality, lack of political pluralism, and intolernace of dissent.",">10,000",General public.,10 days,"The prime minister and his cabinet resigned, former president Nursultan Nazarbayev was removed as chairman of the country's Security Council, and the fuel price caps were restored.",,X,X,,,Tens of thousands,X,,X,,,Nur-Sultan
Belarus,Anti-war protest,22-Feb,Not free,The holding of a referendum on whether to adopt a new constitution that would renounce Belarus's non-nuclear status and allow President Alexander Lukashenko to stay in power until 2035.,Anger over the change in nuclear status; frustration with entrenchment of the Lukashenko regime; and disagreement with the Belarusian government's support for Russia's invasion of Ukraine.,">1,000",General public.,1 day,No policy/leadership change in response to protest.,,,X,X,,Hundreds,,,X,,,Minsk
Montenegro,Minority government protest,22-Feb,Partly free,Efforts by the Democratic Party of Socialists to form a minority government.,Frustration over political dealmaking and a belief that new elections should be held in order to determine the composition of the government.,">1,000",General public.,1 day,No policy/leadership change in response to protest.,,,X,,,Thousands,,,,,,Podgorica
Morocco,Rising cost of living protests,22-Feb,Partly free,"Increasing prices of basic goods, including grain and fuel.",Frustration at inflation and the perception that the government's response to rising prices has been insufficient.,">1,000",General public.,4 months,The government acknowledged that its policies had been insufficient to address rising prices.,,X,X,,,Thousands,,,,X,,Rabat
Russia,Ukraine invasion protests,22-Feb,Not free,The invasion of Ukraine by the Russian military.,"Anger over decision by Russian President Vladimir Putin to go to war; concern over economic fallout; solidarity with Ukrainians resisting invasion. In September 2022, protests reignited over the Russian government's announcement of a ""partial mobilization"" of up to 300,000 reservists.",">10,000",General public.,2 months following invasion; 1 week in September 2022 following partial mobilization.,No policy/leadership change in response to protest.,,X,X,,,Tens of thousands,,,,X,,Moscow
West Bank,Cost of living protests,22-Feb,Not free,Rapidly rising prices and security chaos.,High cost of living and perceived failure by Palestinian Authority to alleviate crisis.,">1,000",General public.,"4 months, intermittently",No policy/leadership change in response to protests.,,X,X,,,Thousands,,,,,,Ramallah
